,mean_ms,std_ms,world_size,data_size_mb
0,0.3889504999996518,0.03778249999975003,2,1.0
1,1.657506499999073,0.00833049999826585,2,10.0
2,14.571737999999002,0.07571899999980758,2,100.0
3,144.83931899999902,0.1319469999998546,2,1000.0
4,0.8035299999993306,0.0025339346868671064,4,1.0
5,6.3807622500000605,0.12182890953407323,4,10.0
6,65.96313374999951,0.13962115972686515,4,100.0
7,613.2085442499999,0.04073409601313852,4,1000.0
8,0.8564959999999289,0.00854703408592021,6,1.0
9,5.5822941666671495,0.13017172691421638,6,10.0
10,55.200714333334844,0.22354885403577202,6,100.0
11,540.4244206666675,0.23086614651478632,6,1000.0
